region,ticker,display_ticker,company,exchange,currency,category,supply_chain_category,role,industry_class,industry_model_class,stage,lifecycle_stage,revenue_purity,valuation_models,valuation_basis,valuation_label,model_read,data_status,price,marketCap,trailingPE,forwardPE,evToEbitda,ps,pb,revenueGrowth,grossMargins,ebitdaMargins,profitMargins,six_month_return,benchmark_return,source_url
US,DLR,DLR,Digital Realty,US,USD,1. L1 需求端 / AI 雲端 / Data Center,1. L1 需求端 / AI 雲端 / Data Center,Hyperscale / colocation data center REIT,軟體 / IP / 平台型,軟體 / IP / 平台型,成熟複利,成熟複利,低到中,"EV/Sales, FCF margin, Forward PE","Forward PE, PEG/implied CAGR, EV/EBITDA",過熱,平台型公司 PE > 55x，需要 AI monetization 明確加速,complete,190.0,67962822656.0,50.531914,66.33754,29.95,10.763748,2.928619,0.167,0.55342996,0.4575,0.21823,,,https://finance.yahoo.com/quote/DLR
US,CORZ,CORZ,Core Scientific,US,USD,1. L1 需求端 / AI 雲端 / Data Center,1. L1 需求端 / AI 雲端 / Data Center,AI/HPC hosting 與資料中心轉型,軟體 / IP / 平台型,軟體 / IP / 平台型,已獲利成長,已獲利成長,低到中,"EV/Sales, FCF margin, Forward PE","Forward PE, PEG/implied CAGR, EV/EBITDA",過熱,平台型公司 PE > 55x，需要 AI monetization 明確加速,complete,26.85,8535219712.0,,85.2381,-100.123,24.06063,-6.5169907,0.449,0.2156,-0.2727,0.0,,,https://finance.yahoo.com/quote/CORZ
US,IREN,IREN,IREN,US,USD,1. L1 需求端 / AI 雲端 / Data Center,1. L1 需求端 / AI 雲端 / Data Center,AI/HPC data center 與 power-linked compute,軟體 / IP / 平台型,軟體 / IP / 平台型,轉機 / 虧轉盈,轉機 / 虧轉盈,低到中,"EV/Sales, FCF margin, Forward PE","Forward PE, PEG/implied CAGR, EV/EBITDA",極度過熱 / priced for perfection,虧損且 PS > 20x，需要高成長與快速轉盈同時成立,complete,63.54,22707843072.0,82.519485,-67.59575,166.192,29.994219,8.394769,-0.0,0.68397003,0.19440001,0.20877,,,https://finance.yahoo.com/quote/IREN
US,WULF,WULF,TeraWulf,US,USD,1. L1 需求端 / AI 雲端 / Data Center,1. L1 需求端 / AI 雲端 / Data Center,Power-linked compute / HPC hosting,軟體 / IP / 平台型,軟體 / IP / 平台型,成熟複利,成熟複利,低到中,"EV/Sales, FCF margin, Forward PE","Forward PE, PEG/implied CAGR, EV/EBITDA",極度過熱 / priced for perfection,PS > 20x 且成長未足以吸收估值,complete,25.56,12665814016.0,,138.16216,-106.043,75.36394,76.52695,-0.011,0.64018995,-0.86137,0.0,,,https://finance.yahoo.com/quote/WULF
US,CIFR,CIFR,Cipher Mining,US,USD,1. L1 需求端 / AI 雲端 / Data Center,1. L1 需求端 / AI 雲端 / Data Center,Data center / compute infrastructure optionality,軟體 / IP / 平台型,軟體 / IP / 平台型,成熟複利,成熟複利,低到中,"EV/Sales, FCF margin, Forward PE","Forward PE, PEG/implied CAGR, EV/EBITDA",極度過熱 / priced for perfection,PS > 20x 且成長未足以吸收估值,complete,23.65,9674012672.0,,35.298508,82.808,46.10603,13.422248,-0.288,0.12375,0.79029,0.0,,,https://finance.yahoo.com/quote/CIFR
US,NVDA,NVDA,NVIDIA,US,USD,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,AI GPU、rack-scale platform、networking,半導體設備 / 高毛利瓶頸股,半導體設備 / 高毛利瓶頸股,已獲利成長,已獲利成長,高,"Forward PE, PEG, EV/EBITDA","PE, PB, EV/EBITDA peer/history blend",合理反映,估值與高毛利設備/晶片股大致相符,complete,211.14,5114022068224.0,32.383434,16.681019,30.627,20.174374,32.623608,0.852,0.74144995,0.65294,0.62966,,,https://finance.yahoo.com/quote/NVDA
US,AMD,AMD,AMD,US,USD,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,AI GPU、CPU、accelerator 替代供應,半導體設備 / 高毛利瓶頸股,半導體設備 / 高毛利瓶頸股,已獲利成長,已獲利成長,中高,"Forward PE, PEG, EV/EBITDA","PE, PB, EV/EBITDA peer/history blend",過熱,EV/EBITDA > 80x，估值需多年高成長與高 margin 同時支撐,complete,516.1,841552887808.0,172.60869,39.82394,112.123,22.468971,13.050294,0.378,0.5306,0.19838,0.13374,,,https://finance.yahoo.com/quote/AMD
US,AVGO,AVGO,Broadcom,US,USD,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,Custom ASIC、switch silicon、connectivity,半導體設備 / 高毛利瓶頸股,半導體設備 / 高毛利瓶頸股,已獲利成長,已獲利成長,中高,"Forward PE, PEG, EV/EBITDA","PE, PB, EV/EBITDA peer/history blend",合理反映,估值與高毛利設備/晶片股大致相符,complete,446.77,2115307700224.0,86.920235,24.227072,58.23,30.978994,26.490957,0.295,0.76725996,0.54506,0.36571997,,,https://finance.yahoo.com/quote/AVGO
US,MRVL,MRVL,Marvell,US,USD,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,Custom silicon、optical DSP、data center silicon,半導體設備 / 高毛利瓶頸股,半導體設備 / 高毛利瓶頸股,已獲利成長,已獲利成長,中高,"Forward PE, PEG, EV/EBITDA","PE, PB, EV/EBITDA peer/history blend",偏熱,PE > 30x 已反映明顯 AI / 製程升級期待,complete,205.0,179334004736.0,70.44673,33.7438,66.655,20.572668,12.139516,0.276,0.51502997,0.31111,0.28986,,,https://finance.yahoo.com/quote/MRVL
US,INTC,INTC,Intel,US,USD,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,CPU、foundry、accelerator、networking,半導體設備 / 高毛利瓶頸股,半導體設備 / 高毛利瓶頸股,轉機 / 虧轉盈,轉機 / 虧轉盈,中,"Forward PE, PEG, EV/EBITDA","PE, PB, EV/EBITDA peer/history blend",過熱,虧損且 PS > 10x，估值仰賴明確轉盈路徑,complete,114.68,576381648896.0,,74.48107,42.488,10.720787,5.171123,0.072,0.372,0.26364002,-0.05904,,,https://finance.yahoo.com/quote/INTC
US,ARM,ARM,Arm,US,USD,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,CPU IP、data center CPU ecosystem,半導體設備 / 高毛利瓶頸股,半導體設備 / 高毛利瓶頸股,成熟複利,成熟複利,中,"Forward PE, PEG, EV/EBITDA","PE, PB, EV/EBITDA peer/history blend",過熱,EV/EBITDA > 80x，估值需多年高成長與高 margin 同時支撐,complete,353.29,377341575168.0,415.63528,115.63715,351.49,76.69544,45.369205,0.201,0.97541,0.2164,0.18374,,,https://finance.yahoo.com/quote/ARM
US,QCOM,QCOM,Qualcomm,US,USD,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,AI inference、edge/data center optionality,半導體設備 / 高毛利瓶頸股,半導體設備 / 高毛利瓶頸股,成熟複利,成熟複利,中,"Forward PE, PEG, EV/EBITDA","PE, PB, EV/EBITDA peer/history blend",合理反映,估值與高毛利設備/晶片股大致相符,complete,251.02,264575090688.0,27.020452,23.6006,20.774,5.9473786,9.745322,-0.035,0.54799,0.2922,0.22308001,,,https://finance.yahoo.com/quote/QCOM
US,ALAB,ALAB,Astera Labs,US,USD,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,PCIe/CXL retimer、connectivity,半導體設備 / 高毛利瓶頸股,半導體設備 / 高毛利瓶頸股,已獲利成長,已獲利成長,高,"Forward PE, PEG, EV/EBITDA","PE, PB, EV/EBITDA peer/history blend",過熱,EV/EBITDA > 80x，估值需多年高成長與高 margin 同時支撐,complete,342.85,58767212544.0,233.2313,81.50114,246.908,58.682476,39.308643,0.934,0.75988996,0.23305,0.26724002,,,https://finance.yahoo.com/quote/ALAB
US,MPWR,MPWR,Monolithic Power,US,USD,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,Power management IC,半導體設備 / 高毛利瓶頸股,半導體設備 / 高毛利瓶頸股,已獲利成長,已獲利成長,中,"Forward PE, PEG, EV/EBITDA","PE, PB, EV/EBITDA peer/history blend",過熱,EV/EBITDA > 80x，估值需多年高成長與高 margin 同時支撐,complete,1566.21,76947898368.0,112.35366,51.932003,88.195,26.021494,20.924091,0.261,0.55175,0.28988,0.22984,,,https://finance.yahoo.com/quote/MPWR
US,ADI,ADI,Analog Devices,US,USD,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,Analog / power / signal chain,半導體設備 / 高毛利瓶頸股,半導體設備 / 高毛利瓶頸股,已獲利成長,已獲利成長,中,"Forward PE, PEG, EV/EBITDA","PE, PB, EV/EBITDA peer/history blend",合理反映,估值與高毛利設備/晶片股大致相符,complete,413.85,201580969984.0,61.768658,28.013319,33.638,15.822442,5.974189,0.372,0.64491,0.48268002,0.26007998,,,https://finance.yahoo.com/quote/ADI
US,TXN,TXN,Texas Instruments,US,USD,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,Analog / embedded / power IC,半導體設備 / 高毛利瓶頸股,半導體設備 / 高毛利瓶頸股,成熟複利,成熟複利,中,"Forward PE, PEG, EV/EBITDA","PE, PB, EV/EBITDA peer/history blend",偏熱,PE > 30x 已反映明顯 AI / 製程升級期待,complete,305.68,278197174272.0,52.342464,32.47213,33.138,15.08825,16.579702,0.186,0.57322,0.46995,0.29108,,,https://finance.yahoo.com/quote/TXN
US,MCHP,MCHP,Microchip,US,USD,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,MCU、timing、control、connectivity,半導體設備 / 高毛利瓶頸股,半導體設備 / 高毛利瓶頸股,已獲利成長,已獲利成長,中,"Forward PE, PEG, EV/EBITDA","PE, PB, EV/EBITDA peer/history blend",合理反映,估值與高毛利設備/晶片股大致相符,complete,94.65,51307806720.0,430.2273,23.13457,46.518,10.886212,7.9678426,0.351,0.57735,0.25866,0.048800003,,,https://finance.yahoo.com/quote/MCHP
US,TSM,TSM,TSMC,US,USD,3. L3 半導體製造 / 記憶體,3. L3 半導體製造 / 記憶體,先進製程晶圓代工、AI GPU/ASIC 核心,封測 / 代工 / 資本密集,封測 / 代工 / 資本密集,已獲利成長,已獲利成長,中高,"EV/EBITDA, ROIC, normalized PE","EV/EBITDA, normalized PE, utilization/ROIC",資料不足,需要利用率、折舊與 capex 後 FCF 支持,complete,418.45,2170280083456.0,35.8569,21.44058,3.012,0.52883303,64.00909,0.351,0.61873,0.69593,0.46505,,,https://finance.yahoo.com/quote/TSM
US,MU,MU,Micron,US,USD,3. L3 半導體製造 / 記憶體,3. L3 半導體製造 / 記憶體,HBM、DRAM、NAND，美系記憶體核心,封測 / 代工 / 資本密集,封測 / 代工 / 資本密集,已獲利成長,已獲利成長,中高,"EV/EBITDA, ROIC, normalized PE","EV/EBITDA, normalized PE, utilization/ROIC",過熱,資本密集模式 EV/EBITDA > 25x，需要高利用率多年維持,complete,971.0,1095029751808.0,45.86679,9.222632,29.651,18.841166,15.115899,1.963,0.58437,0.63324,0.41486,,,https://finance.yahoo.com/quote/MU
US,GFS,GFS,GlobalFoundries,US,USD,3. L3 半導體製造 / 記憶體,3. L3 半導體製造 / 記憶體,Specialty foundry,封測 / 代工 / 資本密集,封測 / 代工 / 資本密集,成熟複利,成熟複利,中,"EV/EBITDA, ROIC, normalized PE","EV/EBITDA, normalized PE, utilization/ROIC",資料不足,需要利用率、折舊與 capex 後 FCF 支持,complete,79.97,43856863232.0,50.936306,31.831009,20.97,6.4118223,3.7507625,0.031,0.26111,0.29722,0.11374,,,https://finance.yahoo.com/quote/GFS
US,UMC,UMC,UMC,US,USD,3. L3 半導體製造 / 記憶體,3. L3 半導體製造 / 記憶體,Mature-node foundry,封測 / 代工 / 資本密集,封測 / 代工 / 資本密集,成熟複利,成熟複利,中,"EV/EBITDA, ROIC, normalized PE","EV/EBITDA, normalized PE, utilization/ROIC",資料不足,需要利用率、折舊與 capex 後 FCF 支持,complete,22.18,55655976960.0,35.20635,27.587408,2.123,0.23119462,4.3155994,0.055,0.29609,0.43205002,0.20816,,,https://finance.yahoo.com/quote/UMC
US,WDC,WDC,Western Digital,US,USD,3. L3 半導體製造 / 記憶體,3. L3 半導體製造 / 記憶體,NAND / storage,封測 / 代工 / 資本密集,封測 / 代工 / 資本密集,已獲利成長,已獲利成長,中,"EV/EBITDA, ROIC, normalized PE","EV/EBITDA, normalized PE, utilization/ROIC",過熱,資本密集模式 EV/EBITDA > 25x，需要高利用率多年維持,complete,531.21,183098605568.0,31.751945,30.159443,46.229,15.547134,25.398518,0.455,0.45428002,0.33353,0.55286,,,https://finance.yahoo.com/quote/WDC
US,STX,STX,Seagate,US,USD,3. L3 半導體製造 / 記憶體,3. L3 半導體製造 / 記憶體,HDD / enterprise storage,封測 / 代工 / 資本密集,封測 / 代工 / 資本密集,已獲利成長,已獲利成長,中,"EV/EBITDA, ROIC, normalized PE","EV/EBITDA, normalized PE, utilization/ROIC",過熱,資本密集模式 EV/EBITDA > 25x，需要高利用率多年維持,complete,879.8,199056605184.0,83.31439,33.26724,57.003,18.079618,418.15588,0.441,0.41571,0.31916,0.21599,,,https://finance.yahoo.com/quote/STX
US,ASML,ASML,ASML,US,USD,4. L3 半導體設備 / EDA / 測試,4. L3 半導體設備 / EDA / 測試,EUV / lithography,半導體設備 / 高毛利瓶頸股,半導體設備 / 高毛利瓶頸股,成熟複利,成熟複利,中,"Forward PE, EV/EBITDA, Reverse DCF","PE, PB, EV/EBITDA peer/history blend",偏熱,PE > 30x 已反映明顯 AI / 製程升級期待,complete,1612.76,621586219008.0,53.758667,33.82436,48.478,18.44869,1427.0149,0.132,0.52603,0.37707,0.29713,,,https://finance.yahoo.com/quote/ASML
US,AMAT,AMAT,Applied Materials,US,USD,4. L3 半導體設備 / EDA / 測試,4. L3 半導體設備 / EDA / 測試,Deposition、etch、materials engineering,半導體設備 / 高毛利瓶頸股,半導體設備 / 高毛利瓶頸股,成熟複利,成熟複利,中,"Forward PE, EV/EBITDA, Reverse DCF","PE, PB, EV/EBITDA peer/history blend",合理反映,估值與高毛利設備/晶片股大致相符,complete,450.06,357329371136.0,42.378532,27.833576,38.421,12.311514,14.945208,0.114,0.48956,0.31956,0.29314,,,https://finance.yahoo.com/quote/AMAT
US,LRCX,LRCX,Lam Research,US,USD,4. L3 半導體設備 / EDA / 測試,4. L3 半導體設備 / EDA / 測試,Etch / deposition,半導體設備 / 高毛利瓶頸股,半導體設備 / 高毛利瓶頸股,成熟複利,成熟複利,中,"Forward PE, EV/EBITDA, Reverse DCF","PE, PB, EV/EBITDA peer/history blend",偏熱,PE > 30x 已反映明顯 AI / 製程升級期待,complete,318.18,397906673664.0,60.26136,40.06129,50.574,18.352068,37.592155,0.238,0.49979,0.36195,0.30938998,,,https://finance.yahoo.com/quote/LRCX
US,KLAC,KLAC,KLA,US,USD,4. L3 半導體設備 / EDA / 測試,4. L3 半導體設備 / EDA / 測試,Process control / inspection,半導體設備 / 高毛利瓶頸股,半導體設備 / 高毛利瓶頸股,成熟複利,成熟複利,中,"Forward PE, EV/EBITDA, Reverse DCF","PE, PB, EV/EBITDA peer/history blend",偏熱,PE > 30x 已反映明顯 AI / 製程升級期待,complete,1921.71,251028209664.0,54.347,38.54616,43.112,19.167345,43.08187,0.115,0.61446,0.44669998,0.35661998,,,https://finance.yahoo.com/quote/KLAC
US,TER,TER,Teradyne,US,USD,4. L3 半導體設備 / EDA / 測試,4. L3 半導體設備 / EDA / 測試,Semiconductor test,半導體設備 / 高毛利瓶頸股,半導體設備 / 高毛利瓶頸股,已獲利成長,已獲利成長,中,"Forward PE, EV/EBITDA, Reverse DCF","PE, PB, EV/EBITDA peer/history blend",偏熱,PE > 30x 已反映明顯 AI / 製程升級期待,complete,374.31,58595295232.0,69.44527,39.3463,50.309,15.47341,20.89833,0.87,0.58702,0.30671,0.22553,,,https://finance.yahoo.com/quote/TER
US,SNPS,SNPS,Synopsys,US,USD,4. L3 半導體設備 / EDA / 測試,4. L3 半導體設備 / EDA / 測試,EDA / IP,半導體設備 / 高毛利瓶頸股,半導體設備 / 高毛利瓶頸股,已獲利成長,已獲利成長,中,"Forward PE, EV/EBITDA, Reverse DCF","PE, PB, EV/EBITDA peer/history blend",合理反映,估值與高毛利設備/晶片股大致相符,complete,475.62,91071397888.0,108.589035,27.633432,58.616,10.4928465,2.987544,0.419,0.82598996,0.19543,0.089090005,,,https://finance.yahoo.com/quote/SNPS
US,CDNS,CDNS,Cadence,US,USD,4. L3 半導體設備 / EDA / 測試,4. L3 半導體設備 / EDA / 測試,EDA / simulation,半導體設備 / 高毛利瓶頸股,半導體設備 / 高毛利瓶頸股,成熟複利,成熟複利,中,"Forward PE, EV/EBITDA, Reverse DCF","PE, PB, EV/EBITDA peer/history blend",偏熱,PE > 30x 已反映明顯 AI / 製程升級期待,complete,374.93,103411687424.0,87.80562,39.949917,52.104,18.704817,15.760646,0.187,0.86079,0.36433,0.21180001,,,https://finance.yahoo.com/quote/CDNS
US,ANSS,ANSS,Ansys,US,,4. L3 半導體設備 / EDA / 測試,4. L3 半導體設備 / EDA / 測試,Simulation / multiphysics,半導體設備 / 高毛利瓶頸股,半導體設備 / 高毛利瓶頸股,早期高成長,早期高成長,中,"Forward PE, EV/EBITDA, Reverse DCF","PE, PB, EV/EBITDA peer/history blend",資料不足,缺少可用的 PE / EV/EBITDA / PS / PB 基礎,complete,,,,,,,,,,,,,,https://finance.yahoo.com/quote/ANSS
US,KEYS,KEYS,Keysight,US,USD,4. L3 半導體設備 / EDA / 測試,4. L3 半導體設備 / EDA / 測試,Test and measurement,半導體設備 / 高毛利瓶頸股,半導體設備 / 高毛利瓶頸股,已獲利成長,已獲利成長,中,"Forward PE, EV/EBITDA, Reverse DCF","PE, PB, EV/EBITDA peer/history blend",合理反映,估值與高毛利設備/晶片股大致相符,complete,338.33,57765953536.0,54.30658,28.535738,38.24,9.488494,9.138373,0.315,0.63666,0.25,0.17312999,,,https://finance.yahoo.com/quote/KEYS
US,ENTG,ENTG,Entegris,US,USD,4. L3 半導體設備 / EDA / 測試,4. L3 半導體設備 / EDA / 測試,Materials / filtration / contamination control,半導體設備 / 高毛利瓶頸股,半導體設備 / 高毛利瓶頸股,成熟複利,成熟複利,中,"Forward PE, EV/EBITDA, Reverse DCF","PE, PB, EV/EBITDA peer/history blend",偏熱,PE > 30x 已反映明顯 AI / 製程升級期待,complete,138.79,21137715200.0,80.225426,30.01942,27.796,6.5334635,5.332744,0.05,0.44775,0.27222002,0.08182,,,https://finance.yahoo.com/quote/ENTG
US,MKSI,MKSI,MKS,US,USD,4. L3 半導體設備 / EDA / 測試,4. L3 半導體設備 / EDA / 測試,Process subsystems / photonics / vacuum,半導體設備 / 高毛利瓶頸股,半導體設備 / 高毛利瓶頸股,成熟複利,成熟複利,中,"Forward PE, EV/EBITDA, Reverse DCF","PE, PB, EV/EBITDA peer/history blend",合理反映,估值與高毛利設備/晶片股大致相符,complete,324.26,21901858816.0,67.979034,21.695917,27.232,5.3773284,7.7633595,0.152,0.46648997,0.23103,0.08028,,,https://finance.yahoo.com/quote/MKSI
US,ICHR,ICHR,Ichor,US,USD,4. L3 半導體設備 / EDA / 測試,4. L3 半導體設備 / EDA / 測試,Fluid delivery subsystems,半導體設備 / 高毛利瓶頸股,半導體設備 / 高毛利瓶頸股,轉機 / 虧轉盈,轉機 / 虧轉盈,中,"Forward PE, EV/EBITDA, Reverse DCF","PE, PB, EV/EBITDA peer/history blend",資料不足,虧損公司需要 breakeven revenue / cash burn 資料,complete,71.52,2493691392.0,,27.372303,94.264,2.5996127,3.7095432,0.047,0.11995,0.02826,-0.05284,,,https://finance.yahoo.com/quote/ICHR
US,AEIS,AEIS,Advanced Energy,US,USD,4. L3 半導體設備 / EDA / 測試,4. L3 半導體設備 / EDA / 測試,Power conversion for semiconductor equipment,半導體設備 / 高毛利瓶頸股,半導體設備 / 高毛利瓶頸股,已獲利成長,已獲利成長,中,"Forward PE, EV/EBITDA, Reverse DCF","PE, PB, EV/EBITDA peer/history blend",合理反映,估值與高毛利設備/晶片股大致相符,complete,302.18,12090420224.0,62.823284,25.70152,38.9,6.346011,8.294356,0.263,0.39004,0.15484,0.099989995,,,https://finance.yahoo.com/quote/AEIS
US,AMKR,AMKR,Amkor,US,USD,5. L3 先進封裝 / ABF / PCB / CCL,5. L3 先進封裝 / ABF / PCB / CCL,OSAT / advanced packaging,封測 / 代工 / 資本密集,封測 / 代工 / 資本密集,已獲利成長,已獲利成長,中,"EV/EBITDA, utilization scenario","EV/EBITDA, normalized PE, utilization/ROIC",合理反映,EV/EBITDA 落在可解釋區間，需追蹤利用率與 capex,complete,69.56,17242011648.0,39.97701,28.369255,14.263,2.4383752,3.8025475,0.275,0.14425999,0.16902,0.061680004,,,https://finance.yahoo.com/quote/AMKR
