ticker,company,category,role,industry_class,stage,revenue_purity,valuation_models,valuation_label,model_read,currency,price,marketCap,trailingPE,forwardPE,evToEbitda,ps,pb,revenueGrowth,grossMargins,ebitdaMargins,profitMargins,fetch_error,source_url
ASML,ASML,4. L3 半導體設備 / EDA / 測試,EUV / lithography,半導體設備 / 高毛利瓶頸股,成熟複利,中,"Forward PE, EV/EBITDA, Reverse DCF",偏熱,PE > 30x 已反映明顯 AI / 製程升級期待,USD,1612.76,621586219008.0,53.758667,33.82436,48.478,18.44869,1427.0149,0.132,0.52603,0.37707,0.29713,,https://finance.yahoo.com/quote/ASML
AMAT,Applied Materials,4. L3 半導體設備 / EDA / 測試,Deposition、etch、materials engineering,半導體設備 / 高毛利瓶頸股,成熟複利,中,"Forward PE, EV/EBITDA, Reverse DCF",合理反映,估值與高毛利設備/晶片股大致相符,USD,450.06,357329371136.0,42.378532,27.833576,38.421,12.311514,14.945208,0.114,0.48956,0.31956,0.29314,,https://finance.yahoo.com/quote/AMAT
LRCX,Lam Research,4. L3 半導體設備 / EDA / 測試,Etch / deposition,半導體設備 / 高毛利瓶頸股,成熟複利,中,"Forward PE, EV/EBITDA, Reverse DCF",偏熱,PE > 30x 已反映明顯 AI / 製程升級期待,USD,318.18,397906673664.0,60.26136,40.06129,50.574,18.352068,37.592155,0.238,0.49979,0.36195,0.30938998,,https://finance.yahoo.com/quote/LRCX
KLAC,KLA,4. L3 半導體設備 / EDA / 測試,Process control / inspection,半導體設備 / 高毛利瓶頸股,成熟複利,中,"Forward PE, EV/EBITDA, Reverse DCF",偏熱,PE > 30x 已反映明顯 AI / 製程升級期待,USD,1921.71,251028209664.0,54.347,38.54616,43.112,19.167345,43.08187,0.115,0.61446,0.44669998,0.35661998,,https://finance.yahoo.com/quote/KLAC
8035.T,Tokyo Electron,4. L3 半導體設備 / EDA / 測試,半導體製程設備,半導體設備 / 高毛利瓶頸股,成熟複利,中,"Forward PE, EV/EBITDA, Reverse DCF",偏熱,PE > 30x 已反映明顯 AI / 製程升級期待,JPY,52420.0,23946357374976.0,41.84094,40.946728,33.042,9.7998905,11.518497,0.086,0.45339,0.28904,0.23509,,https://finance.yahoo.com/quote/8035.T
ASM.AS,ASM International,4. L3 半導體設備 / EDA / 測試,ALD / epitaxy,半導體設備 / 高毛利瓶頸股,成熟複利,中,"Forward PE, EV/EBITDA, Reverse DCF",偏熱,PE > 30x 已反映明顯 AI / 製程升級期待,EUR,898.4,43919249408.0,44.65209,33.273743,39.433,13.739794,10.240862,0.028,0.51794,0.34122002,0.31006,,https://finance.yahoo.com/quote/ASM.AS
6146.T,Disco,4. L3 半導體設備 / EDA / 測試,Dicing / grinding,半導體設備 / 高毛利瓶頸股,成熟複利,中,"Forward PE, EV/EBITDA, Reverse DCF",過熱,PE > 45x，需 backlog、ASP、毛利率持續兌現,JPY,65090.0,7059793248256.0,52.083252,47.82724,34.076,16.159239,12.011415,,0.7015,0.45512,0.3102,,https://finance.yahoo.com/quote/6146.T
6857.T,Advantest,4. L3 半導體設備 / EDA / 測試,Semiconductor test,半導體設備 / 高毛利瓶頸股,已獲利成長,中,"Forward PE, EV/EBITDA, Reverse DCF",極度過熱 / priced for perfection,高毛利瓶頸股 PE > 65x，需成長與高終值倍數同時成立,JPY,26170.0,18983352795136.0,51.020607,110.08287,35.574,16.820118,23.860909,0.412,0.64335996,0.46493998,0.33258,,https://finance.yahoo.com/quote/6857.T
TER,Teradyne,4. L3 半導體設備 / EDA / 測試,Semiconductor test,半導體設備 / 高毛利瓶頸股,已獲利成長,中,"Forward PE, EV/EBITDA, Reverse DCF",偏熱,PE > 30x 已反映明顯 AI / 製程升級期待,USD,374.31,58595295232.0,69.44527,39.3463,50.309,15.47341,20.89833,0.87,0.58702,0.30671,0.22553,,https://finance.yahoo.com/quote/TER
7735.T,SCREEN,4. L3 半導體設備 / EDA / 測試,Cleaning / process equipment,半導體設備 / 高毛利瓶頸股,成熟複利,中,"Forward PE, EV/EBITDA, Reverse DCF",未充分反映,估值低於高品質設備股常態且仍有成長,JPY,11120.0,2102656630784.0,22.830862,12.71293,13.724,3.4711738,4.321412,0.091,0.38494,0.22633,0.15188,,https://finance.yahoo.com/quote/7735.T
SNPS,Synopsys,4. L3 半導體設備 / EDA / 測試,EDA / IP,半導體設備 / 高毛利瓶頸股,已獲利成長,中,"Forward PE, EV/EBITDA, Reverse DCF",合理反映,估值與高毛利設備/晶片股大致相符,USD,475.62,91071397888.0,108.589035,27.633432,58.616,10.4928465,2.987544,0.419,0.82598996,0.19543,0.089090005,,https://finance.yahoo.com/quote/SNPS
CDNS,Cadence,4. L3 半導體設備 / EDA / 測試,EDA / simulation,半導體設備 / 高毛利瓶頸股,成熟複利,中,"Forward PE, EV/EBITDA, Reverse DCF",偏熱,PE > 30x 已反映明顯 AI / 製程升級期待,USD,374.93,103411687424.0,87.80562,39.949917,52.104,18.704817,15.760646,0.187,0.86079,0.36433,0.21180001,,https://finance.yahoo.com/quote/CDNS
ANSS,Ansys,4. L3 半導體設備 / EDA / 測試,Simulation / multiphysics,半導體設備 / 高毛利瓶頸股,早期高成長,中,"Forward PE, EV/EBITDA, Reverse DCF",資料不足,缺少可用的 PE / EV/EBITDA / PS / PB 基礎,,,,,,,,,,,,,,https://finance.yahoo.com/quote/ANSS
KEYS,Keysight,4. L3 半導體設備 / EDA / 測試,Test and measurement,半導體設備 / 高毛利瓶頸股,已獲利成長,中,"Forward PE, EV/EBITDA, Reverse DCF",合理反映,估值與高毛利設備/晶片股大致相符,USD,338.33,57765953536.0,54.30658,28.535738,38.24,9.488494,9.138373,0.315,0.63666,0.25,0.17312999,,https://finance.yahoo.com/quote/KEYS
ENTG,Entegris,4. L3 半導體設備 / EDA / 測試,Materials / filtration / contamination control,半導體設備 / 高毛利瓶頸股,成熟複利,中,"Forward PE, EV/EBITDA, Reverse DCF",偏熱,PE > 30x 已反映明顯 AI / 製程升級期待,USD,138.79,21137715200.0,80.225426,30.01942,27.796,6.5334635,5.332744,0.05,0.44775,0.27222002,0.08182,,https://finance.yahoo.com/quote/ENTG
MKSI,MKS,4. L3 半導體設備 / EDA / 測試,Process subsystems / photonics / vacuum,半導體設備 / 高毛利瓶頸股,成熟複利,中,"Forward PE, EV/EBITDA, Reverse DCF",合理反映,估值與高毛利設備/晶片股大致相符,USD,324.26,21901858816.0,67.979034,21.695917,27.232,5.3773284,7.7633595,0.152,0.46648997,0.23103,0.08028,,https://finance.yahoo.com/quote/MKSI
ICHR,Ichor,4. L3 半導體設備 / EDA / 測試,Fluid delivery subsystems,半導體設備 / 高毛利瓶頸股,轉機 / 虧轉盈,中,"Forward PE, EV/EBITDA, Reverse DCF",資料不足,虧損公司需要 breakeven revenue / cash burn 資料,USD,71.52,2493691392.0,,27.372303,94.264,2.5996127,3.7095432,0.047,0.11995,0.02826,-0.05284,,https://finance.yahoo.com/quote/ICHR
AEIS,Advanced Energy,4. L3 半導體設備 / EDA / 測試,Power conversion for semiconductor equipment,半導體設備 / 高毛利瓶頸股,已獲利成長,中,"Forward PE, EV/EBITDA, Reverse DCF",合理反映,估值與高毛利設備/晶片股大致相符,USD,302.18,12090420224.0,62.823284,25.70152,38.9,6.346011,8.294356,0.263,0.39004,0.15484,0.099989995,,https://finance.yahoo.com/quote/AEIS
3711.TW,日月光投控,5. L3 先進封裝 / ABF / PCB / CCL,OSAT / advanced packaging,封測 / 代工 / 資本密集,成熟複利,中,"EV/EBITDA, utilization scenario",資料不足,需要利用率、折舊與 capex 後 FCF 支持,TWD,611.0,2681001738240.0,59.901962,26.245436,22.712,3.9961474,7.6474414,0.172,0.18505,0.18742001,0.07043,,https://finance.yahoo.com/quote/3711.TW
AMKR,Amkor,5. L3 先進封裝 / ABF / PCB / CCL,OSAT / advanced packaging,封測 / 代工 / 資本密集,已獲利成長,中,"EV/EBITDA, utilization scenario",合理反映,EV/EBITDA 落在可解釋區間，需追蹤利用率與 capex,USD,69.56,17242011648.0,39.97701,28.369255,14.263,2.4383752,3.8025475,0.275,0.14425999,0.16902,0.061680004,,https://finance.yahoo.com/quote/AMKR
4062.T,Ibiden,5. L3 先進封裝 / ABF / PCB / CCL,ABF substrate,封測 / 代工 / 資本密集,成熟複利,中,"EV/EBITDA, utilization scenario",過熱,資本密集模式 EV/EBITDA > 25x，需要高利用率多年維持,JPY,23000.0,6422647537664.0,107.526886,74.4433,50.861,15.4316,11.676057,0.186,0.31636,0.29888,0.15308,,https://finance.yahoo.com/quote/4062.T
3037.TW,欣興,5. L3 先進封裝 / ABF / PCB / CCL,ABF / PCB,封測 / 代工 / 資本密集,成熟複利,中,"EV/EBITDA, utilization scenario",過熱,資本密集模式 EV/EBITDA > 25x，需要高利用率多年維持,TWD,1055.0,1661117792256.0,243.64897,35.805508,63.041,11.985167,14.779015,0.245,0.15145999,0.19195999,0.07793,,https://finance.yahoo.com/quote/3037.TW
8046.TW,南電,5. L3 先進封裝 / ABF / PCB / CCL,ABF substrate,封測 / 代工 / 資本密集,已獲利成長,中,"EV/EBITDA, utilization scenario",過熱,資本密集模式 EV/EBITDA > 25x，需要高利用率多年維持,TWD,848.0,547948331008.0,285.52188,30.2928,53.684,12.775012,11.731667,0.321,0.1163,0.23423,0.07106,,https://finance.yahoo.com/quote/8046.TW
3189.TW,景碩,5. L3 先進封裝 / ABF / PCB / CCL,IC substrate,封測 / 代工 / 資本密集,已獲利成長,中,"EV/EBITDA, utilization scenario",過熱,資本密集模式 EV/EBITDA > 25x，需要高利用率多年維持,TWD,729.0,384121602048.0,217.61195,35.527355,38.404,9.181535,9.278468,0.288,0.20849001,0.24954,0.04468,,https://finance.yahoo.com/quote/3189.TW
6967.T,Shinko,5. L3 先進封裝 / ABF / PCB / CCL,IC substrate / packaging,封測 / 代工 / 資本密集,早期高成長,中,"EV/EBITDA, utilization scenario",資料不足,缺少可用的 PE / EV/EBITDA / PS / PB 基礎,,,,,,,,,,,,,,https://finance.yahoo.com/quote/6967.T
2313.TW,華通,5. L3 先進封裝 / ABF / PCB / CCL,PCB,封測 / 代工 / 資本密集,成熟複利,中,"EV/EBITDA, utilization scenario",過熱,資本密集模式 EV/EBITDA > 25x，需要高利用率多年維持,TWD,284.5,339072942080.0,51.821495,22.778223,29.77,4.302199,9.133519,0.168,0.18733999,0.18142,0.08574,,https://finance.yahoo.com/quote/2313.TW
2316.TW,楠梓電,5. L3 先進封裝 / ABF / PCB / CCL,PCB,封測 / 代工 / 資本密集,成熟複利,中,"EV/EBITDA, utilization scenario",資料不足,需要利用率、折舊與 capex 後 FCF 支持,TWD,168.5,30571798528.0,12.612276,,-617.714,7.856136,2.2226913,0.174,0.01546,-0.0128999995,0.71976995,,https://finance.yahoo.com/quote/2316.TW
3044.TW,健鼎,5. L3 先進封裝 / ABF / PCB / CCL,PCB,封測 / 代工 / 資本密集,成熟複利,中,"EV/EBITDA, utilization scenario",合理反映,EV/EBITDA 落在可解釋區間，需追蹤利用率與 capex,TWD,521.0,273840734208.0,26.883387,14.993501,13.741,3.5455165,4.696952,0.224,0.26251,0.23587,0.14003,,https://finance.yahoo.com/quote/3044.TW
2368.TW,金像電,5. L3 先進封裝 / ABF / PCB / CCL,AI server PCB,封測 / 代工 / 資本密集,已獲利成長,中,"EV/EBITDA, utilization scenario",過熱,資本密集模式 EV/EBITDA > 25x，需要高利用率多年維持,TWD,1320.0,667098939392.0,69.43713,21.692087,36.497,9.91916,19.112154,0.601,0.33647,0.26920998,0.16857,,https://finance.yahoo.com/quote/2368.TW
2383.TW,台光電,5. L3 先進封裝 / ABF / PCB / CCL,CCL,封測 / 代工 / 資本密集,已獲利成長,中,"EV/EBITDA, utilization scenario",過熱,資本密集模式 EV/EBITDA > 25x，需要高利用率多年維持,TWD,5120.0,1834603511808.0,111.11111,32.87093,77.996,17.365282,38.26664,0.525,0.29588,0.22301,0.15637,,https://finance.yahoo.com/quote/2383.TW
